Region/Country/Area,Year,Expenditure by level of education: primary (as % of government expenditure),Expenditure by level of education: secondary (as % of government expenditure),Expenditure by level of education: tertiary (as % of government expenditure),Public expenditure on education (% of GDP),GDP in current prices (millions of US dollars),GDP per capita (US dollars),Population mid-year estimates (millions),Students enrolled in primary education (thousands),Students enrolled in secondary education (thousands),Students enrolled in tertiary education (thousands)
Nauru,2015,,,,,90,"7,955",,,,
Nauru,2016,,,,,103,"9,119",0.0113,1.808,0.992,
Nauru,2017,,,,,114,"10,045",0.0114,,,
Nepal,1985,,,,,"2,741",164,,,,
Nepal,1995,,,,,"4,534",212,,,,
Nepal,2016,,,,,"20,929",722,,,,
Netherlands,1985,,,,,"143,847","9,911",,,,
Netherlands,1995,,,,,"452,287","29,240",,,,
Netherlands,2016,,,,,"783,528","46,124",,"1,192.27","1,611.02",836.946
Netherlands,2017,,,,,"830,573","48,754",17.0213,,,
Netherlands Antilles [former],1985,,,,,"1,190","7,024",,,,
Netherlands Antilles [former],1995,,,,,"2,571","14,734",,,,
Netherlands Antilles [former],2005,,,,,"3,053","18,852",,,,
Netherlands Antilles [former],2010,,,,,"3,848","21,290",,,,
New Caledonia,1985,,,,,855,"5,480",,,,
New Caledonia,1995,,,,,"3,628","19,024",,,,
New Caledonia,2005,,,,,"6,236","26,801",0.2364,,,
New Caledonia,2010,,,,,"9,355","37,266",0.2535,,,
New Caledonia,2015,,,,,"9,174","34,094",,,,
New Caledonia,2016,,,,,"9,446","34,641",,,,
New Caledonia,2017,,,,,"9,894","35,815",0.2772,,,
New Zealand,1985,,,,,"24,108","7,376",,,,
New Zealand,1995,,,,,"63,151","17,184",,,,
New Zealand,2015,,,,,"177,208","38,402",,368.306,487.3634,270.0742
New Zealand,2017,,,,,"202,044","42,935",4.702,384.251,486.3339,268.6457
Nicaragua,1985,,,,,"3,598",970,,,,
Nicaragua,1995,,,,,"4,118",893,,,,
Nicaragua,2005,,,,,"6,300","1,171",5.4387,945.089,437.853,
Nicaragua,2015,,,,,"12,611","2,073",,,,
Nicaragua,2016,,,,,"13,184","2,144",,,,
Niger,1985,,,,,"1,531",221,,,,
Niger,1995,,,,,"1,786",188,,,,
Niger,2005,,,,,"3,369",247,13.6245,"1,064.06",181.641,10.799
Niger,2015,,,,,"7,249",364,,"2,444.98",595.426,52.001
Niger,2016,,,,,"7,606",368,,,,
Nigeria,1985,,,,,"178,821","2,139",,,,
Nigeria,1995,,,,,"49,030",454,,,,
Nigeria,2005,,,,,"180,502","1,299",138.865,"22,115.43","6,397.58","1,391.53"
Nigeria,2010,,,,,"369,062","2,327",158.5032,"21,558.46","9,056.77","1,394.59"
Nigeria,2015,,,,,"494,583","2,730",,,"11,116.03",
Nigeria,2016,,,,,"404,649","2,176",,"25,591.18","10,314.80",
Nigeria,2017,,,,,"375,770","1,969",190.8732,,,
North Macedonia,1995,,,,,"4,707","2,373",,,,
North Macedonia,2005,,,,,"6,259","3,038",2.0603,110.149,214.005,49.364
North Macedonia,2010,,,,,"9,407","4,543",2.0707,110.759,196.991,61.764
North Macedonia,2015,,,,,"10,065","4,840",,108.827,168.967,63.543
North Macedonia,2016,,,,,"10,672","5,128",,,,
North Macedonia,2017,,,,,"11,280","5,415",2.082,,,
Norway,1985,,,,,"65,417","15,751",,,,
Norway,1995,,,,,"152,028","34,813",,,,
Norway,2016,,,,,"371,337","70,668",,,,
Norway,2017,,,,,"399,470","75,295",5.2963,444.638,447.525,284.042
Oman,1985,,,,,"10,281","6,861",,,,
Oman,1995,,,,,"13,650","6,193",,,,
Oman,2010,,,,,"57,048","18,757",3.0414,,,78.063
Oman,2015,,,,,"68,921","16,411",,350.544,286.9,126.947
Oman,2016,,,,,"65,941","14,903",,368.141,294.485,131.678
Pakistan,1985,,,,,"38,840",421,,,,
Pakistan,1995,,,,,"77,266",629,,,,
Pakistan,2015,,,,,"267,035","1,410",,"19,846.82","12,077.92","1,871.58"
Palau,1985,,,,,41,"3,006",,,,
Palau,1995,,,,,110,"6,398",,,,
Palau,2005,,,,,191,"9,611",0.0199,1.805,2.382,
Palau,2010,,,,,183,"8,932",0.0205,,,
Palau,2015,,,,,293,"13,768",,,,
Palau,2016,,,,,303,"14,077",0.0215,,,
Palau,2017,,,,,292,"13,417",0.0217,,,
Panama,1985,,,,,"5,817","2,621",,,,
Panama,1995,,,,,"9,188","3,354",,,,
Panama,2005,,,,,"15,714","4,718",3.3302,430.152,256.224,126.242
Panama,2010,,,,,"29,440","8,081",3.6427,439.746,283.787,139.116
Panama,2015,,,,,"54,316","13,684",,417.556,316.899,156.635
Panama,2016,,,,,"57,821","14,333",,408.961,344.79,
Panama,2017,,,,,"61,838","15,088",4.1068,,,
Papua New Guinea,1985,,,,,"3,682",970,,,,
Papua New Guinea,1995,,,,,"7,274","1,486",,,,
Papua New Guinea,2005,,,,,"7,312","1,158",6.4949,531.759,,
Papua New Guinea,2010,,,,,"14,251","2,005",7.3105,,,
Papua New Guinea,2015,,,,,"22,962","2,899",,,,
Papua New Guinea,2016,,,,,"21,480","2,657",,"1,275.09",507.278,
Papua New Guinea,2017,,,,,"22,006","2,667",8.438,,,
Paraguay,1985,,,,,"4,017","1,094",,,,
Paraguay,1995,,,,,"8,066","1,694",,,,
Paraguay,2005,,,,,"8,735","1,507",5.8241,933.995,529.309,155.727
Paraguay,2015,,,,,"27,283","4,109",,,,
Paraguay,2017,,,,,"29,435","4,322",6.8671,,,
Peru,1985,,,,,"14,529",743,,,,
Peru,1995,,,,,"53,371","2,220",,,,
Peru,2015,,,,,"189,924","6,053",,"3,513.44","2,681.53",
Peru,2016,,,,,"191,642","6,031",,"3,576.94","2,752.72","1,929.93"
Philippines,1985,,,,,"34,052",627,,,,
Philippines,1995,,,,,"82,121","1,176",,,,
Philippines,2010,,,,,"199,591","2,130",93.9668,,,"2,774.37"
Philippines,2015,,,,,"292,774","2,878",,"14,453.06","7,319.46",
Philippines,2016,,,,,"304,889","2,951",,"14,293.64","7,397.29",
Philippines,2017,,,,,"313,595","2,989",105.1729,,,"3,589.48"
Poland,1985,,,,,"73,333","1,975",,,,
Poland,1995,,,,,"142,138","3,696",,,,
Poland,2016,,,,,"472,030","12,349",,"2,480.79","2,462.93","1,600.21"
Poland,2017,,,,,"526,212","13,786",37.9532,,,
Portugal,1985,,,,,"27,118","2,716",,,,
Portugal,1995,,,,,"118,132","11,639",,,,
Portugal,2016,,,,,"188,344","18,160",,638.883,766.052,343.117
Portugal,2017,,,,,"195,041","18,882",10.2885,,,
Puerto Rico,1985,,,,,"20,574","6,106",,,,
Puerto Rico,1995,,,,,"43,246","11,721",,,,
Puerto Rico,2005,,,,,"83,915","22,286",3.6319,,,
Puerto Rico,2010,,,,,"98,381","26,470",3.5798,299.746,290.991,249.372
Puerto Rico,2015,,,,,"103,376","28,139",,250.579,278.964,240.878
Puerto Rico,2016,,,,,"103,961","28,343",,227.548,236.001,233.07
Puerto Rico,2017,,,,,"104,219","28,451",3.1637,,,
Qatar,1985,,,,,"6,153","16,582",,,,
Qatar,1995,,,,,"8,138","15,849",,,,
Qatar,2015,,,,,"164,641","66,347",,130.464,95.567,27.866
Qatar,2016,,,,,"152,452","59,324",,,,
Republic of Korea,1985,,,,,"100,273","2,457",,,,
Republic of Korea,1995,,,,,"556,129","12,277",,,,
Republic of Korea,2010,,,,,"1,094,499","22,088",49.5456,"3,306.21","3,959.45","3,269.51"
Republic of Korea,2016,,,,,"1,414,804","27,855",,"2,680.13","3,231.80","3,204.35"
Republic of Korea,2017,,,,,"1,530,751","30,025",51.0964,,,
Republic of Moldova,1995,,,,,"1,767",407,,,,
Republic of Moldova,2015,,,,,"6,513","1,602",,138.536,233.26,109.395
Republic of Moldova,2016,,,,,"6,796","1,674",,,,
Romania,1985,,,,,"50,742","2,196",,,,
Romania,1995,,,,,"37,657","1,640",,,,
Romania,2016,,,,,"187,807","9,496",,939.147,"1,515.24",535.218
Romania,2017,,,,,"211,804","10,763",19.654,,,
Russian Federation,1995,,,,,"402,316","2,713",,,,
Russian Federation,2010,,,,,"1,539,845","10,757",143.4793,,,
Russian Federation,2016,,,,,"1,284,727","8,924",,"6,198.78","9,566.90","6,182.30"
Russian Federation,2017,,,,,"1,577,524","10,956",145.5301,,,
Rwanda,1985,,,,,"1,813",296,,,,
Rwanda,1995,,,,,"1,230",208,,,,
Rwanda,2005,,,,,"2,581",287,8.8402,"1,857.84",218.517,27.787
Saint Kitts and Nevis,1985,,,,,106,"2,524",,,,
Saint Kitts and Nevis,1995,,,,,300,"6,987",,,,
Saint Kitts and Nevis,2010,,,,,705,"13,708",0.0514,6.255,4.309,
Saint Kitts and Nevis,2016,,,,,900,"16,413",,5.452,4.175,
Saint Kitts and Nevis,2017,,,,,931,"16,818",0.0553,,,
Saint Lucia,1985,,,,,249,"1,970",,,,
Saint Lucia,1995,,,,,617,"4,199",,,,
Saint Lucia,2017,,,,,"1,718","9,607",0.181,16.054,12.217,3.249
Saint Vincent & Grenadines,1985,,,,,133,"1,277",,,,
Saint Vincent & Grenadines,1995,,,,,312,"2,887",,,,
Saint Vincent & Grenadines,2015,,,,,757,"6,915",,13.362,10.286,
Saint Vincent & Grenadines,2016,,,,,767,"6,994",,,,
Samoa,1985,,,,,85,532,,,,
Samoa,1995,,,,,196,"1,151",,,,
Samoa,2005,,,,,434,"2,414",0.1797,30.964,24.01,
Samoa,2010,,,,,679,"3,648",0.1859,30.871,25.998,
Samoa,2015,,,,,774,"3,995",,31.998,25.994,
Samoa,2017,,,,,856,"4,356",0.1954,32.95,,
San Marino,1985,,,,,318,"14,017",,,,
San Marino,1995,,,,,"1,020","39,407",,,,
San Marino,2005,,,,,"2,027","69,338",0.0292,,,
San Marino,2015,,,,,"1,570","47,627",0.033,,,
San Marino,2016,,,,,"1,612","48,560",,,,
San Marino,2017,,,,,"1,690","50,588",0.0334,,,
Sao Tome and Principe,1985,,,,,79,759,,,,
Sao Tome and Principe,1995,,,,,99,780,,,,
Sao Tome and Principe,2015,,,,,316,"1,613",,35.558,22.123,2.336
Sao Tome and Principe,2016,,,,,354,"1,772",,,,
Saudi Arabia,1985,,,,,"103,894","7,877",,,,
Saudi Arabia,1995,,,,,"143,152","7,641",,,,
Saudi Arabia,2010,,,,,"528,207","19,260",27.4215,"3,321.07",,903.567
Saudi Arabia,2015,,,,,"654,270","20,733",,"3,844.52",,"1,527.77"
Saudi Arabia,2016,,,,,"644,935","19,982",,"3,734.69",,"1,622.44"
Saudi Arabia,2017,,,,,"683,827","20,761",33.1012,,,"1,680.91"
Senegal,1985,,,,,"3,632",560,,,,
Senegal,1995,,,,,"6,306",721,,,,
Senegal,2015,,,,,"17,761","1,186",,"1,977.39","1,136.48",144.827
Serbia,1995,,,,,"21,823","2,208",,,,
Serbia,2005,,,,,"26,252","3,528",9.1938,324.913,632.338,224.873
Serbia,2017,,,,,"41,590","5,912",8.8296,268.952,538.238,262.108
Seychelles,1985,,,,,204,"2,922",,,,
Seychelles,1995,,,,,614,"8,005",,,,
Seychelles,2005,,,,,919,"10,357",0.0886,9.204,8.501,
Seychelles,2010,,,,,970,"10,612",0.0913,8.67,7.554,
Seychelles,2015,,,,,"1,377","14,695",,8.974,7.394,1.035
Seychelles,2017,,,,,"1,487","15,693",0.0964,9.037,7.362,1.338
Sierra Leone,1985,,,,,"1,376",362,,,,
Sierra Leone,1995,,,,,"1,179",276,,,,
Sierra Leone,2015,,,,,"4,248",587,,"1,360.24",449.32,
Sierra Leone,2016,,,,,"3,863",522,,,,
Singapore,1985,,,,,"18,555","6,858",,,,
Singapore,1995,,,,,"87,892","25,265",,,,
Singapore,2015,,,,,"304,092","54,937",,,,
Singapore,2016,,,,,"309,753","55,092",,236.943,179.676,195.125
Singapore,2017,,,,,"323,901","56,737",5.708,,,
Sint Maarten (Dutch part),2005,,,,,708,"21,762",0.0325,,,
Sint Maarten (Dutch part),2010,,,,,896,"27,065",0.0331,,,
Sint Maarten (Dutch part),2015,,,,,"1,066","27,521",,,,0.194
Sint Maarten (Dutch part),2016,,,,,"1,072","27,116",,,,
Slovakia,1995,,,,,"19,959","3,713",,,,
Slovakia,2016,,,,,"89,848","16,503",,219.866,446.922,167.28
Slovakia,2017,,,,,"95,618","17,552",5.4479,,,
Slovenia,1995,,,,,"21,274","10,683",,,,
Slovenia,2016,,,,,"44,641","21,484",,119.563,148.896,80.798
Slovenia,2017,,,,,"48,456","23,296",2.0764,,,
Solomon Islands,1985,,,,,160,591,,,,
Solomon Islands,1995,,,,,365,"1,015",,,,
Solomon Islands,2005,,,,,429,914,0.4699,75.082,22.487,
Solomon Islands,2015,,,,,"1,059","1,803",,104.236,,
Solomon Islands,2016,,,,,"1,131","1,886",,,,
Solomon Islands,2017,,,,,"1,212","1,982",0.636,108.396,,
Somalia,1985,,,,,810,119,,,,
Somalia,1995,,,,,"1,122",146,,,,
Somalia,2005,,,,,"2,316",222,10.4469,,,
Somalia,2010,,,,,"1,093",91,12.0439,,,
Somalia,2015,,,,,"1,455",105,,,,
Somalia,2016,,,,,"1,435",100,,,,
Somalia,2017,,,,,"1,535",104,14.5892,,,
South Africa,1985,,,,,"59,648","1,768",,,,
South Africa,1995,,,,,"157,434","3,741",,,,
South Africa,2015,,,,,"317,536","5,743",,"7,555.84","5,279.20","1,050.86"
South Africa,2016,,,,,"295,746","5,280",,"7,569.92","5,164.48","1,053.61"
South Sudan,2010,,,,,"15,206","1,510",9.5084,,,
South Sudan,2015,,,,,"13,408","1,128",,"1,273.85",164.135,
Spain,1985,,,,,"180,305","4,643",,,,
Spain,1995,,,,,"612,943","15,366",,,,
Spain,2016,,,,,"1,237,499","26,700",,"3,027.75","3,329.39","1,968.70"
Spain,2017,,,,,"1,314,314","28,354",46.6474,,,
Sri Lanka,1985,,,,,"6,873",425,,,,
Sri Lanka,1995,,,,,"15,293",838,,,,
Sri Lanka,2005,,,,,"27,932","1,431",19.545,"1,610.78",,
Sri Lanka,2015,,,,,"80,604","3,891",,"1,778.18",,308
Sri Lanka,2016,,,,,"81,787","3,932",,,,
State of Palestine,1985,,,,,"1,005",571,,,,
State of Palestine,1995,,,,,"3,283","1,254",,,,
State of Palestine,2005,,,,,"4,832","1,351",3.578,387.138,656.797,138.139
State of Palestine,2015,,,,,"12,673","2,718",,450.182,721.414,221.018
State of Palestine,2016,,,,,"13,426","2,802",,,,
Sudan,2010,,,,,"54,459","1,584",34.545,"4,024.30","1,687.36",522.774
Sudan,2015,,,,,"83,085","2,150",,"4,518.42","2,059.72",653.088
Sudan,2016,,,,,"91,701","2,317",,,,
Sudan,2017,,,,,"120,266","2,967",,"4,899.66","2,205.03",
Sudan [former],1985,,,,,"6,624",292,,,,
Sudan [former],1995,,,,,"12,847",435,,,,
Sudan [former],2005,,,,,"35,183",902,,"3,278.09","1,369.74",
Sudan [former],2010,,,,,"69,665","1,567",,,,
Suriname,1985,,,,,"1,196","3,221",,,,
Suriname,1995,,,,,844,"1,903",,,,
Suriname,2005,,,,,"2,193","4,395",0.4995,65.527,45.818,
Suriname,2010,,,,,"4,368","8,303",0.5291,70.981,50.164,
Suriname,2015,,,,,"4,826","8,725",,71.921,54.721,
Suriname,2016,,,,,"3,278","5,871",,,,
Suriname,2017,,,,,"3,807","6,757",0.5705,68.612,,
Sweden,1985,,,,,"112,640","13,477",,,,
Sweden,1995,,,,,"264,346","29,915",,,,
Sweden,2016,,,,,"512,205","52,066",,826.685,856.094,426.188
Sweden,2017,,,,,"535,607","54,043",9.9049,,,
Switzerland,1985,,,,,"107,765","16,692",,,,
Switzerland,1995,,,,,"342,626","48,817",,,,
Switzerland,2017,,,,,"678,938","80,101",8.4558,,,
Syrian Arab Republic,1985,,,,,"10,050",944,,,,
Syrian Arab Republic,1995,,,,,"13,547",944,,,,
Syrian Arab Republic,2005,,,,,"28,397","1,552",18.3612,"2,252.15","2,389.38",360.736
Syrian Arab Republic,2010,,,,,"60,465","2,877",21.3625,"2,429.45","2,731.83",573.93
Syrian Arab Republic,2015,,,,,"19,090","1,019",,,,772.877
Syrian Arab Republic,2016,,,,,"12,377",672,,,,697.415
Syrian Arab Republic,2017,,,,,"15,183",831,17.0957,,,
Tajikistan,1995,,,,,"1,218",211,,,,
Tajikistan,2016,,,,,"6,953",796,,,,
Tajikistan,2017,,,,,"7,146",801,8.8803,771.04,,265.426
Thailand,1985,,,,,"40,313",775,,,,
Thailand,1995,,,,,"169,279","2,845",,,,
Thailand,2015,,,,,"401,399","5,846",,"5,081.08","6,757.17",
Thailand,2016,,,,,"411,755","5,979",,"5,063.49","6,570.99","2,410.71"
Thailand,2017,,,,,"455,303","6,595",69.2098,"4,952.69","6,335.21",
Timor-Leste,1995,,,,,438,503,,,,
Timor-Leste,2005,,,,,"1,814","1,767",0.9951,177.97,74.822,
Timor-Leste,2015,,,,,"3,104","2,502",,243.559,129.314,
Timor-Leste,2016,,,,,"2,521","1,987",,,,
Timor-Leste,2017,,,,,"2,955","2,279",1.2433,222.835,149.883,
Togo,1985,,,,,860,264,,,,
Togo,1995,,,,,"1,663",389,,,,
Togo,2015,,,,,"4,178",563,,"1,413.55",,71.154
Togo,2017,,,,,"4,786",614,7.6985,"1,524.19",727.949,89.092
Tonga,1985,,,,,73,779,,,,
Tonga,1995,,,,,203,"2,115",,,,
Tonga,2005,,,,,262,"2,589",0.1009,17.032,,
Tonga,2010,,,,,374,"3,590",0.104,16.848,14.777,
Tonga,2015,,,,,402,"3,778",,16.982,15.8,
Tonga,2016,,,,,401,"3,748",,,,
Tonga,2017,,,,,427,"3,950",0.102,,,
Trinidad and Tobago,1985,,,,,"7,355","6,282",,,,
Trinidad and Tobago,1995,,,,,"5,314","4,235",,,,
Trinidad and Tobago,2005,,,,,"15,938","12,289",1.2965,129.703,,
Trinidad and Tobago,2010,,,,,"22,062","16,611",1.3281,131.35,,
Trinidad and Tobago,2015,,,,,"24,402","17,942",,,,
Trinidad and Tobago,2016,,,,,"22,304","16,340",,,,
Trinidad and Tobago,2017,,,,,"22,105","16,145",1.3841,,,
Tunisia,1985,,,,,"9,234","1,261",,,,
Tunisia,1995,,,,,"19,795","2,172",,,,
Tunisia,2016,,,,,"41,808","3,666",,"1,139.31","1,047.04",294.486
Tunisia,2017,,,,,"40,069","3,475",11.4334,,,282.204
Turkey,1985,,,,,"92,554","1,884",,,,
Turkey,1995,,,,,"233,085","3,985",,,,
Turkey,2005,,,,,"501,423","7,384",67.9035,"6,678.27","6,345.06","2,106.35"
Turkey,2010,,,,,"771,877","10,672",72.327,"6,635.16","7,530.64","3,529.33"
Turkey,2016,,,,,"863,712","10,863",,"5,360.70","11,019.15","6,689.19"
Turkey,2017,,,,,"851,542","10,546",81.1165,,,
Turkmenistan,1995,,,,,"2,190",520,,,,
Turkmenistan,2005,,,,,"14,176","2,982",4.7546,,,
Turkmenistan,2010,,,,,"22,583","4,439",5.0872,,,
Turkmenistan,2015,,,,,"36,052","6,478",,,,
Turkmenistan,2016,,,,,"36,169","6,387",,,,
Turkmenistan,2017,,,,,"37,915","6,585",5.7577,,,
Turks and Caicos Islands,1985,,,,,58,"6,142",,,,
Turks and Caicos Islands,1995,,,,,191,"12,425",,,,
Turks and Caicos Islands,2010,,,,,687,"22,159",0.031,,,0.005
Turks and Caicos Islands,2016,,,,,950,"27,231",,,,
Turks and Caicos Islands,2017,,,,,"1,017","28,689",0.0354,,,
Tuvalu,1985,,,,,4,406,,,,
Tuvalu,1995,,,,,12,"1,274",,,,
Tuvalu,2005,,,,,22,"2,162",0.01,1.45,,
Tuvalu,2010,,,,,31,"2,981",0.0105,,,
Tuvalu,2015,,,,,35,"3,185",,1.488,1.289,
Tuvalu,2016,,,,,40,"3,564",0.0111,1.324,1.123,
Tuvalu,2017,,,,,44,"3,924",0.0112,,,
Uganda,1985,,,,,"4,743",324,,,,
Uganda,1995,,,,,"7,148",348,,,,
Uganda,2005,,,,,"11,158",391,27.6846,"7,223.88",,
Uganda,2015,,,,,"25,098",625,,"8,264.32",,
Uganda,2016,,,,,"25,423",613,,,,
Ukraine,1995,,,,,"50,379",990,,,,
Ukraine,2010,,,,,"136,012","2,970",45.7921,"1,540.28","3,132.97","2,635.00"
Ukraine,2015,,,,,"91,031","2,038",,"1,536.58","2,370.30","1,776.19"
Ukraine,2017,,,,,"112,154","2,536",44.4877,"1,644.26","2,334.98","1,667.29"
United Arab Emirates,1985,,,,,"41,134","29,571",,,,
United Arab Emirates,1995,,,,,"66,603","27,198",,,,
United Arab Emirates,2005,,,,,"182,978","39,955",4.5882,262.807,,
United Arab Emirates,2010,,,,,"289,787","35,038",8.55,326.588,,101.906
United Arab Emirates,2015,,,,,"358,135","39,122",,460.975,,156.613
United Arab Emirates,2016,,,,,"357,045","38,518",,467.723,441.51,159.553
United Arab Emirates,2017,,,,,"382,575","40,699",9.4872,,,
United Kingdom,1985,,,,,"489,256","8,665",,,,
United Kingdom,1995,,,,,"1,335,930","23,042",,,,
United Kingdom,2015,,,,,"2,896,421","44,290",,"4,617.32","6,374.67","2,330.33"
United Kingdom,2017,,,,,"2,631,228","39,758",66.7275,,,
United Rep. of Tanzania,1985,,,,,"11,654",534,,,,
United Rep. of Tanzania,1995,,,,,"7,575",260,,,,
United Rep. of Tanzania,2015,,,,,"45,628",870,,"8,298.28",,182.404
United Rep. of Tanzania,2016,,,,,"47,388",876,,"8,638.57",,178.598
United Rep. of Tanzania,2017,,,,,"52,090",934,54.6603,"9,315.66","1,920.52",
United States of America,1985,,,,,"4,338,979","18,017",,,,
United States of America,1995,,,,,"7,639,749","28,758",,,,
United States of America,2005,,,,,"13,036,637","44,173",294.9935,"24,454.60","24,431.93","17,272.04"
United States of America,2015,,,,,"18,219,297","56,948",,"24,785.70","24,417.19","19,531.73"
United States of America,2016,,,,,"18,707,189","58,064",,"25,019.05","24,707.91","19,288.42"
United States of America,2017,,,,,"19,485,394","60,055",325.0848,,,
Uruguay,1985,,,,,"5,226","1,735",,,,
Uruguay,1995,,,,,"21,312","6,609",,,,
Uruguay,2010,,,,,"40,285","11,938",3.3593,341.885,321.397,132.398
Uruguay,2015,,,,,"53,274","15,525",,316.864,339.74,156.342
Uruguay,2016,,,,,"52,688","15,298",,309.806,347.841,162.427
Uruguay,2017,,,,,"59,180","17,120",3.4366,,,
Uzbekistan,1995,,,,,"13,474",589,,,,
Uzbekistan,2005,,,,,"14,396",543,26.4278,"2,383.33","4,515.85",265.957
Uzbekistan,2010,,,,,"39,526","1,382",28.5159,"1,970.92","4,448.98",289.208
Uzbekistan,2015,,,,,"66,904","2,160",,"2,134.60","3,964.38",262.368
Uzbekistan,2016,,,,,"67,446","2,145",,,,
Vanuatu,1985,,,,,133,"1,020",,,,
Vanuatu,1995,,,,,273,"1,621",,,,
Vanuatu,2005,,,,,395,"1,886",0.2093,38.53,,
Vanuatu,2010,,,,,701,"2,966",0.2362,41.834,20.256,
Vanuatu,2015,,,,,760,"2,871",,45.931,20.568,
Vanuatu,2016,,,,,804,"2,975",,,,
Venezuela (Boliv. Rep. of),1985,,,,,"59,963","3,425",,,,
Venezuela (Boliv. Rep. of),1995,,,,,"74,889","3,375",,,,
Venezuela (Boliv. Rep. of),2005,,,,,"145,514","5,433",26.4324,"3,449.29","2,028.39",
Venezuela (Boliv. Rep. of),2010,,,,,"393,806","13,566",28.4399,"3,457.75","2,254.94",
Venezuela (Boliv. Rep. of),2015,,,,,"344,375","11,054",,"3,476.47","2,522.66",
Venezuela (Boliv. Rep. of),2016,,,,,"291,376","9,230",,,,
Venezuela (Boliv. Rep. of),2017,,,,,"255,093","7,977",29.4025,"3,285.30","2,391.17",
Viet Nam,1985,,,,,"4,797",79,,,,
Viet Nam,1995,,,,,"20,736",276,,,,
Viet Nam,2005,,,,,"57,633",684,83.8327,"7,773.48",,"1,354.54"
Viet Nam,2015,,,,,"193,241","2,065",,"7,543.63",,"2,466.64"
Viet Nam,2016,,,,,"205,276","2,171",,"7,790.01",,"2,307.36"
Viet Nam,2017,,,,,"223,780","2,342",94.6006,"7,801.56",,
Yemen,1995,,,,,"5,936",387,,,,
Yemen,2005,,,,,"19,041",925,20.1074,"3,219.56","1,455.21",199.813
Yemen,2010,,,,,"30,907","1,309",23.1549,"3,426.99","1,561.34",272.13
Yemen,2015,,,,,"26,660",990,,,,
Yemen,2016,,,,,"24,841",901,,"3,900.13","1,915.87",
Yemen,2017,,,,,"27,957",990,27.8348,,,
Zambia,1985,,,,,"2,772",399,,,,
Zambia,1995,,,,,"3,807",417,,,,
Zambia,2010,,,,,"20,265","1,463",13.606,"2,899.13",,
Zambia,2015,,,,,"21,243","1,319",,"3,215.72",,
Zambia,2016,,,,,"20,954","1,263",,,,
Zambia,2017,,,,,"25,868","1,513",16.8536,"3,284.84",,
Zanzibar,1995,,,,,186,235,,,,
Zanzibar,2005,,,,,438,408,,,,
Zanzibar,2010,,,,,746,587,,,,
Zanzibar,2015,,,,,"1,160",795,,,,
Zanzibar,2016,,,,,"1,207",823,,,,
Zanzibar,2017,,,,,"1,391",920,,,,
Zimbabwe,1985,,,,,"7,548",872,,,,
Zimbabwe,1995,,,,,"9,576",846,,,,
Zimbabwe,2005,,,,,"6,223",481,12.0767,,,
Zimbabwe,2015,,,,,"16,305","1,033",,,,135.575
Zimbabwe,2016,,,,,"16,620","1,029",,,,
Zimbabwe,2017,,,,,"18,037","1,091",14.2366,,,
"Total, all countries or areas",2019,,,,,,,7713.4681,,,
Africa,2019,,,,,,,1308.0642,,,
Northern Africa,2019,,,,,,,241.7808,,,
Sub-Saharan Africa,2019,,,,,,,1066.2834,,,
Eastern Africa,2019,,,,,,,433.9049,,,
Middle Africa,2019,,,,,,,174.3084,,,
Southern Africa,2019,,,,,,,66.6299,,,
Western Africa,2019,,,,,,,391.4402,,,
Americas,2019,,,,,,,1014.7219,,,
Northern America,2019,,,,,,,366.601,,,
Latin America & the Caribbean,2019,,,,,,,648.121,,,
Caribbean,2019,,,,,,,43.335,,,
Central America,2019,,,,,,,177.5865,,,
South America,2019,,,,,,,427.1994,,,
Asia,2019,,,,,,,4601.3712,,,
Central Asia,2019,,,,,,,73.2121,,,
Eastern Asia,2019,,,,,,,1672.6111,,,
South-central Asia,2005,,,,,,,1647.0738,,,
South-central Asia,2010,,,,,,,1775.3605,,,
South-central Asia,2017,,,,,,,1944.1086,,,
South-central Asia,2019,,,,,,,1991.4235,,,
South-eastern Asia,2019,,,,,,,662.0118,,,
Southern Asia,2019,,,,,,,1918.2114,,,
Western Asia,2019,,,,,,,275.3248,,,
Europe,2019,,,,,,,747.1828,,,
Eastern Europe,2019,,,,,,,293.4449,,,
Northern Europe,2019,,,,,,,105.7685,,,
Southern Europe,2019,,,,,,,152.4469,,,
Western Europe,2019,,,,,,,195.5224,,,
Oceania,2019,,,,,,,42.128,,,
Australia and New Zealand,2019,,,,,,,29.9863,,,
Melanesia,2019,,,,,,,10.9185,,,
Micronesia,2019,,,,,,,0.5435,,,
Polynesia,2019,,,,,,,0.6798,,,
Afghanistan,2019,,,,,,,38.0418,,,
Albania,2019,,,,,,,2.8809,,,
Algeria,2019,,,,,,,43.0531,,,
American Samoa,2000,,,,,,,0.0575,,,
American Samoa,2005,,,,,,,0.0591,,,
American Samoa,2010,,,,,,,0.0556,,,
American Samoa,2016,,,,,,,0.0556,,,
American Samoa,2017,,,,,,,0.0556,,,
American Samoa,2019,,,,,,,0.0553,,,
Andorra,2019,,,,,,,0.0771,,,
Angola,2019,,,,,,,31.8253,,,
Anguilla,2001,,,,,,,0.0114,,,
Anguilla,2011,,,,,,,0.014,1.646,1.059,
Anguilla,2019,,,,,,,0.0149,,,
Antigua and Barbuda,2019,,,,,,,0.0971,,,
Argentina,2019,,,,,,,44.7807,,,
Armenia,2019,,,,,,,2.9577,,,
